Concessioner Lodging Overnights_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_Value_Y,Concessioner Camping Overnights_label,Concessioner Camping Overnights_Chart1_CategoryGroup_Value_Y,Tent Overnights_label,Tent Overnights_Chart1_CategoryGroup_Value_Y,Recreation Vehicle Overnights_label,Recreation Vehicle Overnights_Chart1_CategoryGroup_Value_Y,Backcountry Overnights_label,Backcountry Overnights_Chart1_CategoryGroup_Value_Y,Miscellaneous Overnights_label,Miscellaneous Overnights_Chart1_CategoryGroup_Value_Y,Non Recreation Overnights_label,Non Recreation Overnights_Chart1_CategoryGroup_Value_Y
Concessioner Lodging Overnights,2006,604533,Concessioner Camping Overnights,48316,Tent Overnights,140507,Recreation Vehicle Overnights,121258,Backcountry Overnights,244413,Miscellaneous Overnights,47698,Non Recreation Overnights,0
Concessioner Lodging Overnights,2007,670322,Concessioner Camping Overnights,60131,Tent Overnights,141786,Recreation Vehicle Overnights,100735,Backcountry Overnights,282663,Miscellaneous Overnights,43059,Non Recreation Overnights,0
Concessioner Lodging Overnights,2008,641121,Concessioner Camping Overnights,57122,Tent Overnights,141971,Recreation Vehicle Overnights,101075,Backcountry Overnights,314304,Miscellaneous Overnights,43308,Non Recreation Overnights,0
Concessioner Lodging Overnights,2009,645106,Concessioner Camping Overnights,55538,Tent Overnights,148065,Recreation Vehicle Overnights,102273,Backcountry Overnights,276150,Miscellaneous Overnights,42707,Non Recreation Overnights,0
Concessioner Lodging Overnights,2010,615562,Concessioner Camping Overnights,56910,Tent Overnights,155038,Recreation Vehicle Overnights,95626,Backcountry Overnights,295949,Miscellaneous Overnights,26798,Non Recreation Overnights,0
Concessioner Lodging Overnights,2011,639661,Concessioner Camping Overnights,57185,Tent Overnights,206850,Recreation Vehicle Overnights,126310,Backcountry Overnights,291833,Miscellaneous Overnights,35840,Non Recreation Overnights,0
Concessioner Lodging Overnights,2012,687730,Concessioner Camping Overnights,58085,Tent Overnights,150673,Recreation Vehicle Overnights,69667,Backcountry Overnights,300418,Miscellaneous Overnights,32296,Non Recreation Overnights,0
Concessioner Lodging Overnights,2013,592437,Concessioner Camping Overnights,46649,Tent Overnights,111229,Recreation Vehicle Overnights,53446,Backcountry Overnights,234878,Miscellaneous Overnights,27286,Non Recreation Overnights,0
Concessioner Lodging Overnights,2014,667988,Concessioner Camping Overnights,61203,Tent Overnights,73502,Recreation Vehicle Overnights,34904,Backcountry Overnights,269236,Miscellaneous Overnights,36537,Non Recreation Overnights,0
Concessioner Lodging Overnights,2015,540000,Concessioner Camping Overnights,25289,Tent Overnights,207490,Recreation Vehicle Overnights,101227,Backcountry Overnights,293866,Miscellaneous Overnights,32709,Non Recreation Overnights,0
Concessioner Lodging Overnights,2016,600307,Concessioner Camping Overnights,24257,Tent Overnights,206626,Recreation Vehicle Overnights,88600,Backcountry Overnights,330703,Miscellaneous Overnights,40891,Non Recreation Overnights,0
Concessioner Lodging Overnights,2017,653927,Concessioner Camping Overnights,32139,Tent Overnights,147320,Recreation Vehicle Overnights,70862,Backcountry Overnights,312503,Miscellaneous Overnights,29005,Non Recreation Overnights,0
Concessioner Lodging Overnights,2018,663982,Concessioner Camping Overnights,38829,Tent Overnights,139004,Recreation Vehicle Overnights,68000,Backcountry Overnights,337790,Miscellaneous Overnights,27947,Non Recreation Overnights,0
,,,,,,,,,,,,,,
ReportYear,ConcessionerLodgingOvernights,Textbox5,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,MiscellaneousOvernights,NonRecreationOvernights,,,,,,,
2018,"663,982","38,829","139,004","68,000","337,790","27,947",0,,,,,,,
2017,"653,927","32,139","147,320","70,862","312,503","29,005",0,,,,,,,
2016,"600,307","24,257","206,626","88,600","330,703","40,891",0,,,,,,,
2015,"540,000","25,289","207,490","101,227","293,866","32,709",0,,,,,,,
2014,"667,988","61,203","73,502","34,904","269,236","36,537",0,,,,,,,
2013,"592,437","46,649","111,229","53,446","234,878","27,286",0,,,,,,,
2012,"687,730","58,085","150,673","69,667","300,418","32,296",0,,,,,,,
2011,"639,661","57,185","206,850","126,310","291,833","35,840",0,,,,,,,
2010,"615,562","56,910","155,038","95,626","295,949","26,798",0,,,,,,,
2009,"645,106","55,538","148,065","102,273","276,150","42,707",0,,,,,,,
2008,"641,121","57,122","141,971","101,075","314,304","43,308",0,,,,,,,
2007,"670,322","60,131","141,786","100,735","282,663","43,059",0,,,,,,,
2006,"604,533","48,316","140,507","121,258","244,413","47,698",0,,,,,,,
2005,"593,983","43,564","149,193","115,715","238,381","43,630",0,,,,,,,
2004,"603,682","45,063","161,427","117,221","255,617","36,586",0,,,,,,,
2003,"587,671","41,540","164,143","106,530","244,271","28,693",0,,,,,,,
2002,"556,927","41,247","166,098","107,301","241,738","29,569",0,,,,,,,
2001,"561,668","41,034","170,219","107,308","250,876","20,967",0,,,,,,,
2000,"595,600","41,613","159,360","96,304","181,998","10,579",0,,,,,,,
1999,"590,659","41,964","178,966","131,603","154,478","34,085",0,,,,,,,
1998,"576,798","42,324","130,594","54,985","152,778","15,357",0,,,,,,,
1997,"584,441","44,758","142,959","75,869","246,610","24,597",0,,,,,,,
1996,"577,921","41,723","151,166","81,454","265,293","26,022",0,,,,,,,
1995,"533,322","40,396","148,025","116,666","256,799","27,990",0,,,,,,,
1994,"588,043","40,746","165,609","86,196","256,269","27,076",0,,,,,,,
1993,"625,451","42,326","165,120","110,016","244,824","25,855",0,,,,,,,
1992,"647,665","44,996","132,523","124,169","230,627","33,281",0,,,,,,,
1991,"629,133","43,729","142,087","107,841","225,781","37,667",0,,,,,,,
1990,"614,720","42,324","135,457","77,678","32,912","4,933",0,,,,,,,
1989,"599,653","44,202","131,910","73,444","30,739","5,166",0,,,,,,,
1988,"609,854","41,101","92,728","55,791","37,350","31,081",0,,,,,,,
1987,"552,899","41,288","118,826","82,161","47,436","23,844",0,,,,,,,
1986,"443,146","25,176","61,133","28,375","73,185",0,"3,454",,,,,,,
1985,"542,166","21,578","58,216","29,414","81,168",0,"4,740",,,,,,,
1984,"529,554","20,904","80,172","26,167","96,879",0,"25,813",,,,,,,
1983,"474,998","18,693","77,627","26,391","103,893",0,"21,582",,,,,,,
1982,"519,582","18,548","86,137","26,894","99,117",0,"51,901",,,,,,,
1981,"551,270","20,215","80,264","30,693","91,835",0,"20,775",,,,,,,
1980,"479,764","21,642","88,032","27,193","85,990",0,"2,595",,,,,,,
1979,"439,933","34,883","111,022","35,752","120,472",0,"22,080",,,,,,,
