Title1,Title2
Overnight Stays by Category and Year for Glacier NP: 1979 to 2018,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Overnight%20Stays%20(1979%20-%20Last%20Calendar%20Year)

Concessioner Lodging Overnights_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_Value_Y,Concessioner Camping Overnights_label,Concessioner Camping Overnights_Chart1_CategoryGroup_Value_Y,Tent Overnights_label,Tent Overnights_Chart1_CategoryGroup_Value_Y,Recreation Vehicle Overnights_label,Recreation Vehicle Overnights_Chart1_CategoryGroup_Value_Y,Backcountry Overnights_label,Backcountry Overnights_Chart1_CategoryGroup_Value_Y,Miscellaneous Overnights_label,Miscellaneous Overnights_Chart1_CategoryGroup_Value_Y,Non Recreation Overnights_label,Non Recreation Overnights_Chart1_CategoryGroup_Value_Y
Concessioner Lodging Overnights,1979,93386,Concessioner Camping Overnights,0,Tent Overnights,92000,Recreation Vehicle Overnights,134647,Backcountry Overnights,25439,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1980,99107,Concessioner Camping Overnights,0,Tent Overnights,88718,Recreation Vehicle Overnights,112314,Backcountry Overnights,22640,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1981,102241,Concessioner Camping Overnights,0,Tent Overnights,106615,Recreation Vehicle Overnights,152207,Backcountry Overnights,17744,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1982,96198,Concessioner Camping Overnights,0,Tent Overnights,95212,Recreation Vehicle Overnights,134574,Backcountry Overnights,16198,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1983,99775,Concessioner Camping Overnights,0,Tent Overnights,90898,Recreation Vehicle Overnights,143811,Backcountry Overnights,15507,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1984,99191,Concessioner Camping Overnights,0,Tent Overnights,83373,Recreation Vehicle Overnights,128488,Backcountry Overnights,15032,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1985,93339,Concessioner Camping Overnights,0,Tent Overnights,62786,Recreation Vehicle Overnights,95669,Backcountry Overnights,14019,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1986,95188,Concessioner Camping Overnights,0,Tent Overnights,65251,Recreation Vehicle Overnights,111506,Backcountry Overnights,14771,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1987,98632,Concessioner Camping Overnights,0,Tent Overnights,75225,Recreation Vehicle Overnights,115967,Backcountry Overnights,17314,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1988,95843,Concessioner Camping Overnights,0,Tent Overnights,85248,Recreation Vehicle Overnights,128401,Backcountry Overnights,16909,Miscellaneous Overnights,0,Non Recreation Overnights,0
