Concessioner Lodging Overnights_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_Value_Y,Concessioner Camping Overnights_label,Concessioner Camping Overnights_Chart1_CategoryGroup_Value_Y,Tent Overnights_label,Tent Overnights_Chart1_CategoryGroup_Value_Y,Recreation Vehicle Overnights_label,Recreation Vehicle Overnights_Chart1_CategoryGroup_Value_Y,Backcountry Overnights_label,Backcountry Overnights_Chart1_CategoryGroup_Value_Y,Miscellaneous Overnights_label,Miscellaneous Overnights_Chart1_CategoryGroup_Value_Y,Non Recreation Overnights_label,Non Recreation Overnights_Chart1_CategoryGroup_Value_Y
Concessioner Lodging Overnights,1979,537607,Concessioner Camping Overnights,102910,Tent Overnights,219297,Recreation Vehicle Overnights,358266,Backcountry Overnights,46142,Miscellaneous Overnights,10199,Non Recreation Overnights,0
Concessioner Lodging Overnights,1980,577171,Concessioner Camping Overnights,93088,Tent Overnights,198216,Recreation Vehicle Overnights,317349,Backcountry Overnights,24010,Miscellaneous Overnights,10112,Non Recreation Overnights,0
Concessioner Lodging Overnights,1981,571538,Concessioner Camping Overnights,110076,Tent Overnights,244894,Recreation Vehicle Overnights,391437,Backcountry Overnights,55060,Miscellaneous Overnights,12583,Non Recreation Overnights,0
Concessioner Lodging Overnights,1982,574214,Concessioner Camping Overnights,98835,Tent Overnights,233395,Recreation Vehicle Overnights,349319,Backcountry Overnights,50491,Miscellaneous Overnights,10469,Non Recreation Overnights,0
Concessioner Lodging Overnights,1983,569639,Concessioner Camping Overnights,103443,Tent Overnights,200384,Recreation Vehicle Overnights,366594,Backcountry Overnights,43738,Miscellaneous Overnights,8584,Non Recreation Overnights,0
Concessioner Lodging Overnights,1984,600030,Concessioner Camping Overnights,111194,Tent Overnights,228915,Recreation Vehicle Overnights,301056,Backcountry Overnights,33049,Miscellaneous Overnights,10730,Non Recreation Overnights,0
Concessioner Lodging Overnights,1985,601849,Concessioner Camping Overnights,106295,Tent Overnights,194775,Recreation Vehicle Overnights,327086,Backcountry Overnights,32643,Miscellaneous Overnights,7744,Non Recreation Overnights,0
Concessioner Lodging Overnights,1986,598164,Concessioner Camping Overnights,108789,Tent Overnights,200490,Recreation Vehicle Overnights,359962,Backcountry Overnights,31627,Miscellaneous Overnights,9275,Non Recreation Overnights,0
Concessioner Lodging Overnights,1987,624144,Concessioner Camping Overnights,111926,Tent Overnights,244825,Recreation Vehicle Overnights,376512,Backcountry Overnights,32928,Miscellaneous Overnights,7237,Non Recreation Overnights,0
Concessioner Lodging Overnights,1988,526690,Concessioner Camping Overnights,105887,Tent Overnights,176677,Recreation Vehicle Overnights,269773,Backcountry Overnights,25155,Miscellaneous Overnights,4814,Non Recreation Overnights,0
Concessioner Lodging Overnights,1989,611508,Concessioner Camping Overnights,87304,Tent Overnights,204756,Recreation Vehicle Overnights,346283,Backcountry Overnights,32986,Miscellaneous Overnights,9198,Non Recreation Overnights,0
Concessioner Lodging Overnights,1990,640603,Concessioner Camping Overnights,102101,Tent Overnights,216000,Recreation Vehicle Overnights,336026,Backcountry Overnights,37138,Miscellaneous Overnights,13276,Non Recreation Overnights,0
Concessioner Lodging Overnights,1991,638242,Concessioner Camping Overnights,112397,Tent Overnights,257824,Recreation Vehicle Overnights,312592,Backcountry Overnights,41476,Miscellaneous Overnights,13918,Non Recreation Overnights,0
